City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
a coruna,43.3713,-8.396,63.93,90,0,3.0,ES,1630388641
abalak,58.1286,68.5944,51.37,62,88,7.92,RU,1630388714
abu dhabi,24.4667,54.3667,93.31,43,0,11.5,AE,1630388534
ada,43.4166,-116.1262,72.21,29,1,6.91,US,1630388752
adrar,20.5022,-10.0711,90.12,22,16,9.48,MR,1630388625
agadez,19.75,10.25,84.02,14,1,10.16,NE,1630388620
aguimes,27.9054,-15.4461,70.43,79,20,13.8,ES,1630388694
ahipara,-35.1667,173.1667,57.36,90,97,7.83,NZ,1630388736
airai,-8.9266,125.4092,77.7,29,24,4.72,TL,1630388534
aklavik,68.2191,-135.0107,49.03,93,100,9.1,CA,1630388742
albany,42.6001,-73.9662,67.08,85,55,3.85,US,1630388532
alice springs,-23.7,133.8833,85.55,8,0,6.91,AU,1630388770
alugan,12.2188,125.4808,84.25,73,100,5.61,PH,1630388769
amarpatan,24.3167,80.9833,86.05,66,37,10.07,IN,1630388527
amga,60.8953,131.9608,60.69,36,23,9.17,RU,1630388711
amuntai,-2.4177,115.2494,90.45,53,92,1.43,ID,1630388687
ancud,-41.8697,-73.8203,50.43,97,100,7.61,CL,1630388524
arcachon,44.5875,-1.0519,57.52,94,0,3.44,FR,1630388747
arraial do cabo,-22.9661,-42.0278,68.7,82,11,14.32,BR,1630388523
asyut,27.181,31.1837,77.18,35,0,19.15,EG,1630388686
atambua,-9.1061,124.8925,85.33,40,17,0.74,ID,1630388738
atuona,-9.8,-139.0333,77.92,77,19,19.95,PF,1630388540
auki,-8.7676,160.7034,82.18,77,56,7.23,SB,1630388761
avarua,-21.2078,-159.775,73.45,78,13,4.61,CK,1630388558
avera,33.194,-82.5271,78.71,66,100,5.14,US,1630388639
awjilah,29.1081,21.2869,87.73,26,0,5.19,LY,1630388612
axim,4.8699,-2.2405,75.9,87,100,5.95,GH,1630388776
aykhal,66.0,111.5,53.31,42,90,15.37,RU,1630388538
ayorou,14.7308,0.9174,82.99,64,54,9.55,NE,1630388586
bac lieu,9.285,105.7244,86.59,67,100,5.57,VN,1630388699
bairiki,1.3292,172.9752,86.0,70,20,9.22,KI,1630388671
ballina,-28.8667,153.5667,80.78,73,16,8.05,AU,1630388588
bambous virieux,-20.3428,57.7575,75.45,69,20,11.5,MU,1630388633
barra do corda,-5.5,-45.25,76.03,80,67,5.57,BR,1630388750
barrow,71.2906,-156.7887,33.82,75,75,0.0,US,1630388290
batagay,67.6333,134.6333,49.37,52,94,6.93,RU,1630388785
batasan,12.7667,120.7833,84.54,73,80,5.19,PH,1630388763
bathsheba,13.2167,-59.5167,77.61,88,20,4.61,BB,1630388673
bay-khaak,51.1667,94.5,72.59,44,34,2.37,RU,1630388713
baykit,61.67,96.37,58.44,86,95,14.29,RU,1630388733
beloha,-25.1667,45.05,71.1,73,93,11.63,MG,1630388767
belyy yar,53.6039,91.3903,69.69,60,0,8.95,RU,1630388715
bend,44.0582,-121.3153,54.68,58,1,5.75,US,1630388274
bengkulu,-3.8004,102.2655,81.91,78,89,7.81,ID,1630388592
bereda,43.2686,-7.5406,58.14,100,78,1.72,ES,1630388779
beringovskiy,63.05,179.3167,49.93,88,100,3.22,RU,1630388713
berwick,41.0545,-76.2333,72.36,76,98,2.28,US,1630388734
bethel,41.3712,-73.414,74.48,93,1,3.44,US,1630388536
betioky,-23.7167,44.3833,74.8,57,0,6.67,MG,1630388557
beyneu,45.3167,55.2,78.48,18,0,7.54,KZ,1630388701
bhadrachalam,17.6667,80.8833,78.03,94,100,6.85,IN,1630388610
biak,-0.9131,122.8766,80.87,76,49,6.64,ID,1630388728
bilibino,68.0546,166.4372,54.43,67,100,1.3,RU,1630388644
bilma,18.6853,12.9164,90.37,19,27,8.37,NE,1630388529
black river,18.0264,-77.8487,80.6,89,27,2.8,JM,1630388613
bluff,-46.6,168.3333,48.25,68,60,6.31,NZ,1630388555
bo phloi,14.3236,99.5161,84.9,66,100,3.09,TH,1630388531
boden,65.8252,21.6886,51.8,63,47,6.8,SE,1630388664
bonavista,48.6499,-53.1147,51.12,84,87,6.8,CA,1630388748
bradut,46.1333,25.6167,57.25,76,29,1.83,RO,1630388634
bredasdorp,-34.5322,20.0403,53.28,71,90,14.97,ZA,1630388541
broome,42.2506,-75.833,68.0,86,1,1.01,US,1630388640
bubaque,11.2833,-15.8333,78.57,87,100,22.53,GW,1630388647
bull savanna,17.8868,-77.5902,77.11,87,48,3.78,JM,1630388607
buribay,51.9617,58.1592,67.93,27,8,8.23,RU,1630388541
burnie,-41.0667,145.9167,54.27,84,100,19.62,AU,1630388667
busselton,-33.65,115.3333,66.04,64,99,13.47,AU,1630388531
butaritari,3.0707,172.7902,84.11,67,30,18.99,KI,1630388624
cabo san lucas,22.8909,-109.9124,83.17,79,95,10.0,MX,1630388433
callaway,30.153,-85.5699,81.0,92,1,4.0,US,1630388784
calvinia,-31.4707,19.776,46.87,87,89,6.58,ZA,1630388629
